playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
aaronha01,1982,BBWAA,415.0,312.0,406.0,Y,Player,
abbotji01,2005,BBWAA,516.0,387.0,13.0,N,Player,
abreubo01,2020,BBWAA,397.0,298.0,22.0,N,Player,
abreubo01,2021,BBWAA,401.0,301.0,35.0,N,Player,
abreubo01,2022,BBWAA,394.0,296.0,34.0,N,Player,
abreubo01,2023,BBWAA,389.0,292.0,60.0,N,Player,
abreubo01,2024,BBWAA,385.0,289.0,57.0,N,Player,
abreubo01,2025,BBWAA,394.0,296.0,77.0,N,Player,
adamsba01,1937,BBWAA,201.0,151.0,8.0,N,Player,
adamsba01,1938,BBWAA,262.0,197.0,11.0,N,Player,
adamsba01,1939,BBWAA,274.0,206.0,11.0,N,Player,
adamsba01,1942,BBWAA,233.0,175.0,11.0,N,Player,
adamsba01,1945,BBWAA,247.0,186.0,7.0,N,Player,
adamsba01,1946,Nominating Vote,202.0,,6.0,N,Player,Players in top 20 proceed to final ballot
adamsba01,1947,BBWAA,161.0,121.0,22.0,N,Player,
adamsba01,1948,BBWAA,121.0,91.0,4.0,N,Player,
adamsba01,1949,BBWAA,153.0,115.0,5.0,N,Player,
adamsba01,1950,BBWAA,168.0,126.0,6.0,N,Player,
adamsba01,1951,BBWAA,226.0,170.0,12.0,N,Player,
adamsba01,1952,BBWAA,234.0,176.0,9.0,N,Player,
adamsba01,1953,BBWAA,264.0,198.0,17.0,N,Player,
adamsba01,1954,BBWAA,252.0,189.0,13.0,N,Player,
adamsba01,1955,BBWAA,251.0,189.0,24.0,N,Player,
adamsba01,1957,Veterans,,,,N,Player,
adamsba01,1959,Veterans,,,,N,Player,
adamsba01,1961,Veterans,,,,N,Player,Preliminary poll
adamsba01,1962,Veterans,,,,N,Player,Preliminary poll
adamsba01,1963,Veterans,,,,N,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
adamsba01,1964,Veterans,,,,N,Player,
adamsba01,1980,Veterans,,,,N,Player,
adamsba01,1982,Veterans,,,,N,Player,
adamsba01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
adamsba01,2005,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
adamsba01,2007,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
adamsbo03,1966,BBWAA,302.0,227.0,1.0,N,Player,
adamsdo99,2016,Veterans - Pre-Integration Era,16.0,12.0,10.0,N,Pioneer,
adamssp01,1958,BBWAA,266.0,200.0,1.0,N,Player,
adamssp01,1960,BBWAA,269.0,202.0,1.0,N,Player,
adcocjo01,2003,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
adcocjo01,2005,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
adcocjo01,2007,Veterans - Players,,,,N,Player,Preliminary ballot (200 players)
ageeto01,1979,BBWAA,432.0,324.0,0.0,N,Player,
aguilri01,2006,BBWAA,520.0,390.0,3.0,N,Player,
akerja01,1980,BBWAA,385.0,289.0,0.0,N,Player,
alexado01,1995,BBWAA,460.0,345.0,0.0,N,Player,
alexape01,1936,BBWAA,226.0,170.0,55.0,N,Player,
alexape01,1937,BBWAA,201.0,151.0,125.0,N,Player,
alexape01,1938,BBWAA,262.0,197.0,212.0,Y,Player,
allenbe01,1979,BBWAA,432.0,324.0,0.0,N,Player,
